"year","locationabbr","locationdesc","class","topic","question","response","sample_size","data_value","confidence_limit_low","confidence_limit_high","display_order","data_value_unit","data_value_type","data_value_footnote_symbol","data_value_footnote","data_source","class_id","topic_id","location_id","question_id","respid","geo_location","response_order"
2010,"AL","AL - Jefferson County","Health Status","Overall Health","How is your general health?","Poor",45,5.5,3.5,7.4,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(33.518601, -86.814688)",1
2010,"AL","AL - Mobile County","Health Status","Overall Health","How is your general health?","Poor",66,6.4,4.4,8.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.683993, -88.170637)",1
2010,"AL","AL - Tuscaloosa County","Health Status","Overall Health","How is your general health?","Poor",35,4.2,2.6,5.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(33.214154, -87.520229)",1
2010,"AZ","AZ - Maricopa County","Health Status","Overall Health","How is your general health?","Poor",62,3.5,2.3,4.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(33.493403, -112.04143)",1
2010,"AZ","AZ - Pima County","Health Status","Overall Health","How is your general health?","Poor",49,5.7,3.3,8,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(32.216707, -110.96001)",1
2010,"AZ","AZ - Pinal County","Health Status","Overall Health","How is your general health?","Poor",30,4,2.2,5.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(33.060133, -111.588364)",1
2010,"AR","AR - Benton County","Health Status","Overall Health","How is your general health?","Poor",21,3,1.2,4.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(36.337348, -94.230543)",1
2010,"AR","AR - Pulaski County","Health Status","Overall Health","How is your general health?","Poor",36,3.8,1.6,5.9,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(34.773719, -92.311659)",1
2010,"AR","AR - Washington County","Health Status","Overall Health","How is your general health?","Poor",16,2.4,1,3.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(36.094275, -94.172222)",1
2010,"CA","CA - Alameda County","Health Status","Overall Health","How is your general health?","Poor",23,2.4,1.2,3.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(37.705201, -122.100393)",1
2010,"CA","CA - Contra Costa County","Health Status","Overall Health","How is your general health?","Poor",22,2.5,1.3,3.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(37.935588, -122.030131)",1
2010,"CA","CA - Los Angeles County","Health Status","Overall Health","How is your general health?","Poor",154,4.6,3.6,5.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(34.065193, -118.244222)",1
2010,"CA","CA - Orange County","Health Status","Overall Health","How is your general health?","Poor",42,2.9,1.7,4,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(33.733953, -117.86288)",1
2010,"CA","CA - Placer County","Health Status","Overall Health","How is your general health?","Poor",11,2.6,0.6,4.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(38.844511, -121.182466)",1
2010,"CA","CA - Riverside County","Health Status","Overall Health","How is your general health?","Poor",50,4.1,2.5,5.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(33.800439, -117.066205)",1
2010,"CA","CA - Sacramento County","Health Status","Overall Health","How is your general health?","Poor",44,5,3.2,6.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(38.56895, -121.380861)",1
2010,"CA","CA - San Bernardino County","Health Status","Overall Health","How is your general health?","Poor",53,3.5,2.3,4.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(34.190248, -117.357474)",1
2010,"CA","CA - San Diego County","Health Status","Overall Health","How is your general health?","Poor",82,4,2.8,5.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(32.88326, -117.112994)",1
2010,"CA","CA - San Francisco County","Health Status","Overall Health","How is your general health?","Poor",20,4.8,2,7.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(37.759598, -122.438323)",1
